Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
KM Awala,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
SKA Awiah,2022-2022,9,9,1,302,96*,37.75,113.96,-,1,1
D Awishka,2022-2022,3,1,-,-,-,0.00,0.00,-,-,1
G Axtell,2022-2022,2,1,1,-,0*,0.00,0.00,-,-,-
Ayaan Khan,2022-2022,9,8,-,115,22,14.37,107.47,-,-,-
P Ayoleyine,2022-2022,4,1,-,-,-,0.00,0.00,-,-,1
B Ayyappa,2022-2022,3,1,1,1,1*,0.00,50.00,-,-,-
Ayyaz Qureshi,2022-2022,4,4,-,55,30,13.75,75.34,-,-,-
Azam Khalil,2022-2022,9,7,-,98,29,14.00,119.51,-,-,-
Azam Khan,2022-2022,29,26,2,583,85,24.29,127.57,-,5,1
Azeem Nazir,2022-2022,4,2,-,36,36,18.00,85.71,-,-,1
Azhar Andani,2022-2022,3,3,-,22,14,7.33,64.70,-,-,-
Aziz Mohammad,2022-2022,8,8,-,251,72,31.37,138.67,-,2,-
Aziz Sualley,2022-2022,3,3,2,4,4*,4.00,200.00,-,-,1
Azmatullah Omarzai,2022-2022,27,15,5,164,34*,16.40,113.10,-,-,-
Azyan Farhath,2022-2022,6,6,-,64,24,10.66,62.13,-,-,-
R Baaleri,2022-2022,9,6,2,69,24,17.25,67.64,-,-,-
SJ Baard,2022-2022,6,6,1,121,52*,24.20,99.18,-,1,-
OEG Baartman,2022-2022,16,3,2,-,0*,0.00,0.00,-,-,1
Babar Azam,2022-2022,36,36,4,1078,110*,33.68,121.80,1,7,2
Babar Hayat,2022-2022,10,10,2,258,86,32.25,129.00,-,2,2
Babul Kumar,2022-2022,3,3,-,123,72,41.00,153.75,-,1,-
SS Bachhav,2022-2022,7,3,1,25,13,12.50,113.63,-,-,-
MB Bacon,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
A Badoni,2022-2022,21,18,6,286,54,23.83,133.02,-,1,1
KS Bagabena,2022-2022,10,4,2,36,21*,18.00,124.13,-,-,-
J Baguma,2022-2022,13,6,3,38,11*,12.66,77.55,-,-,-
C Bah,2022-2022,6,4,-,24,12,6.00,109.09,-,-,1
Bahar Shinwari,2022-2022,6,6,-,123,57,20.50,136.66,-,1,-
Bahir Shah,2022-2022,5,5,-,94,36,18.80,106.81,-,-,-
MA Baig,2022-2022,10,7,1,192,74,32.00,128.00,-,1,-
TE Bailey,2022-2022,4,-,-,-,-,0.00,0.00,-,-,-
AK Bains,2022-2022,7,7,1,114,33,19.00,112.87,-,-,1
JM Bairstow,2022-2022,14,14,-,400,90,28.57,143.36,-,3,-
JD Baker,2022-2022,6,5,2,50,40*,16.66,104.16,-,-,1
JO Baker,2022-2022,8,6,2,14,5,3.50,56.00,-,-,1
S Baker,2022-2022,3,1,-,-,-,0.00,0.00,-,-,1
Bakhtiar Tahiri,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
Bakhtullah,2022-2022,2,1,-,2,2,2.00,100.00,-,-,-
G Bakiweyem,2022-2022,7,2,1,5,4,5.00,62.50,-,-,-
R Bakum,2022-2022,10,10,2,236,71,29.50,159.45,-,2,-
V Balakrishnan,2022-2022,11,10,1,193,100,21.44,120.62,1,-,-
N Balasooriya,2022-2022,7,4,-,58,33,14.50,148.71,-,-,-
A Balbirnie,2022-2022,34,34,1,829,75*,25.12,135.45,-,6,2
J Baleicikoibia,2022-2022,6,6,-,89,31,14.83,91.75,-,-,-
C Balich,2022-2022,2,2,-,-,-,0.00,0.00,-,-,2
S Baliyan,2022-2022,5,1,-,-,-,0.00,0.00,-,-,1
Baljit Singh,2022-2022,2,2,1,54,45,54.00,150.00,-,-,-
JT Ball,2022-2022,16,2,1,2,1*,2.00,20.00,-,-,-
AR Balla,2022-2022,6,6,-,6,3,1.00,22.22,-,-,3
JC Balt,2022-2022,3,3,-,15,9,5.00,36.58,-,-,1
Baltej Singh,2022-2022,10,-,-,-,-,0.00,0.00,-,-,-
Bal Krishna,2022-2022,2,2,1,11,9,11.00,52.38,-,-,-
DB Bana,2022-2022,8,8,-,114,43,14.25,110.67,-,-,-
CT Bancroft,2022-2022,4,4,-,46,30,11.50,83.63,-,-,-
A Bandara,2022-2022,1,1,-,12,12,12.00,120.00,-,-,-
KMC Bandara,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
KNA Bandara,2022-2022,19,16,5,495,44,45.00,116.74,-,-,-
S Bandara,2022-2022,6,-,-,-,-,0.00,0.00,-,-,-
Shalaka Bandara,2022-2022,2,1,-,12,12,12.00,75.00,-,-,-
S Bandara,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
WMK Bandara,2022-2022,6,6,1,178,82,35.60,125.35,-,1,-
S Bangera,2022-2022,3,3,-,27,23,9.00,122.72,-,-,1
J Bangura,2022-2022,7,4,1,66,34*,22.00,73.33,-,-,2
J Banton,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
T Banton,2022-2022,28,28,-,598,73,21.35,128.60,-,3,2
F Banunaek,2022-2022,5,2,-,4,4,2.00,28.57,-,-,1
I Bardis,2022-2022,2,2,1,2,2*,2.00,33.33,-,-,1
S Barik,2022-2022,5,4,-,18,9,4.50,64.28,-,-,-
J Barker,2022-2022,9,8,4,138,44,34.50,107.81,-,-,1
TC Barker,2022-2022,11,11,-,154,36,14.00,106.20,-,-,3
EG Barnard,2022-2022,14,12,-,182,42,15.16,119.73,-,-,-
GA Bartlett,2022-2022,2,2,1,84,82*,84.00,200.00,-,1,-
XC Bartlett,2022-2022,4,3,2,54,28*,54.00,122.72,-,-,-
Bashar Khan,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
NP Basil,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Basil George,2022-2022,13,13,1,383,93*,31.91,139.78,-,3,-
Basil Hameed,2022-2022,16,16,2,174,42,12.42,112.25,-,-,-
Basil Thampi,2022-2022,12,1,-,6,6,6.00,200.00,-,-,-
Basir Ahamad,2022-2022,5,2,1,10,10,10.00,62.50,-,-,-
T Baskaran,2022-2022,4,2,-,1,1,0.50,12.50,-,-,1
V Baskaran,2022-2022,20,12,3,36,14*,4.00,54.54,-,-,2
KBAK Basnayake,2022-2022,4,4,-,22,10,5.50,66.66,-,-,-
RR Bastiansz,2022-2022,2,2,-,10,6,5.00,83.33,-,-,-
JW Batinibulu,2022-2022,5,4,1,19,11,6.33,63.33,-,-,-
Batin Shah,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
C Battage,2022-2022,6,2,1,-,0*,0.00,0.00,-,-,1
S Bau,2022-2022,12,11,1,250,59,25.00,119.61,-,1,1
T Bavuma,2022-2022,12,12,2,134,36,13.40,95.71,-,-,2
RA Bawa,2022-2022,6,5,2,89,40*,29.66,121.91,-,-,1
Abdullah Bayoumy,2022-2022,11,10,3,58,12*,8.28,107.40,-,-,1
C Bayraktar,2022-2022,3,3,-,26,12,8.66,76.47,-,-,-
KA Bazil,2022-2022,5,2,1,9,7,9.00,112.50,-,-,-
JJ Bazley,2022-2022,8,8,2,123,44*,20.50,129.47,-,-,1
Baz Aybui,2022-2022,6,2,1,3,2*,3.00,18.75,-,-,-
AP Beard,2022-2022,5,2,2,5,4*,0.00,125.00,-,-,-
EF Beard,2022-2022,5,3,1,81,35,40.50,144.64,-,-,-
DG Bedingham,2022-2022,8,8,-,110,31,13.75,115.78,-,-,-
WAT Beer,2022-2022,5,4,2,14,9*,7.00,116.66,-,-,1
GK Beghin,2022-2022,2,2,-,23,23,11.50,95.83,-,-,1
F Behardien,2022-2022,13,12,7,254,63*,50.80,112.38,-,1,-
J Behera,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
JP Behrendorff,2022-2022,22,7,4,46,22*,15.33,117.94,-,-,1
M Beitaki,2022-2022,6,6,1,64,21,12.80,148.83,-,-,-
GJ Bell,2022-2022,1,1,-,31,31,31.00,114.81,-,-,-
DJ Bell-Drummond,2022-2022,12,12,-,154,46,12.83,123.20,-,-,3
CG Benjamin,2022-2022,23,20,4,420,68*,26.25,146.34,-,2,1
HK Bennett,2022-2022,5,1,1,4,4*,0.00,133.33,-,-,-
GK Berg,2022-2022,4,2,1,76,39*,76.00,200.00,-,-,-
RD Berrington,2022-2022,5,5,-,90,37,18.00,125.00,-,-,-
L Berthe,2022-2022,4,3,1,1,1,0.50,16.66,-,-,1
NL Bertus,2022-2022,2,2,-,19,15,9.50,86.36,-,-,-
DM Bess,2022-2022,15,4,2,7,4*,3.50,58.33,-,-,1
JG Bethell,2022-2022,10,10,-,91,21,9.10,104.59,-,-,1
TR Bevan,2022-2022,2,2,-,25,21,12.50,100.00,-,-,-
AB Bhadoriya,2022-2022,5,1,-,1,1,1.00,25.00,-,-,-
K Bhagath Varma,2022-2022,5,2,2,1,1*,0.00,100.00,-,-,-
S Bhambri,2022-2022,4,4,-,47,22,11.75,85.45,-,-,-
MS Bhandage,2022-2022,8,4,1,73,41,24.33,173.80,-,-,-
M Bhanuka,2022-2022,12,11,-,172,58,15.63,106.17,-,2,1
AR Bhardwaj,2022-2022,3,3,-,41,30,13.66,82.00,-,-,-
TS Bharaj,2022-2022,8,8,1,218,63,31.14,135.40,-,3,-
KS Bharat,2022-2022,6,6,-,66,25,11.00,115.78,-,-,1
SVE Bharathi,2022-2022,10,2,-,1,1,0.50,20.00,-,-,1
A Bhargava,2022-2022,2,2,1,7,5,7.00,116.66,-,-,-
Bhavesh Seth,2022-2022,3,2,-,46,27,23.00,121.05,-,-,-
Meet Bhavsar,2022-2022,8,8,-,219,71,27.37,136.02,-,2,1
SR Bhudia,2022-2022,11,6,-,86,38,14.33,134.37,-,-,1
RK Bhui,2022-2022,4,4,-,126,37,31.50,138.46,-,-,-
JJNP Bhula,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
K Bhurtel,2022-2022,14,13,3,375,104*,37.50,124.17,1,1,-
PR Bhut,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
M Bhutia,2022-2022,6,6,3,4,2*,1.33,26.66,-,-,2
LT Bichard,2022-2022,10,1,1,2,2*,0.00,66.66,-,-,-
MP Biddappa,2022-2022,3,3,-,28,26,9.33,51.85,-,-,1
BS Bihari,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
Bikash Singh,2022-2022,3,3,-,29,15,9.66,72.50,-,-,-
S Biko,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
Bilal Hassun,2022-2022,10,7,5,47,20*,23.50,134.28,-,-,1
Bilal Khan,2022-2022,19,5,2,5,4*,1.66,50.00,-,-,3
Bilal Muhammad,2022-2022,13,9,-,57,19,6.33,93.44,-,-,2
Bilal Sami,2022-2022,4,1,1,1,1*,0.00,100.00,-,-,-
Bilal Tahir,2022-2022,5,5,1,62,25,15.50,158.97,-,-,1
SW Billings,2022-2022,38,38,6,709,79,22.15,125.26,-,2,2
Z Bimenyimana,2022-2022,18,13,2,61,15*,5.54,108.92,-,-,4
JA Bird,2022-2022,7,7,-,182,53,26.00,111.65,-,1,1
JM Bird,2022-2022,10,3,2,16,13*,16.00,133.33,-,-,-
K Birkenstock,2022-2022,2,2,2,27,16*,0.00,103.84,-,-,-
D Birrell,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
C Bishnoi,2022-2022,8,8,1,217,78*,31.00,104.32,-,2,-
RB Bishnoi,2022-2022,7,4,2,11,5*,5.50,47.82,-,-,1
J Bishop,2022-2022,7,3,2,10,10*,10.00,250.00,-,-,1
H Bisht,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
P Bisht,2022-2022,7,7,1,161,51*,26.83,134.16,-,1,-
Bismillah Khan,2022-2022,1,1,-,15,15,15.00,136.36,-,-,-
CD Bist,2022-2022,6,5,2,145,43,48.33,108.20,-,-,-
RR Biswa,2022-2022,7,7,-,75,23,10.71,90.36,-,-,1
WK Bitis,2022-2022,3,2,-,1,1,0.50,14.28,-,-,1
J Blackwood,2022-2022,1,1,-,8,8,8.00,80.00,-,-,-
AJ Blake,2022-2022,11,11,1,252,50*,25.20,145.66,-,1,1
DG Blampied,2022-2022,8,5,2,35,22*,11.66,89.74,-,-,1
DA Blignaut,2022-2022,12,9,-,142,43,15.77,96.59,-,-,1
TA Blundell,2022-2022,3,3,1,43,41*,21.50,134.37,-,-,1
M Boast,2022-2022,6,6,1,142,53,28.40,179.74,-,1,-
S Bodha,2022-2022,8,4,2,29,11*,14.50,126.08,-,-,-
C Bogdanos,2022-2022,4,4,1,31,20,10.33,67.39,-,-,-
S Bogdos,2022-2022,4,4,-,24,19,6.00,40.67,-,-,-
JJ Bohannon,2022-2022,3,3,-,15,7,5.00,60.00,-,-,-
A Bohara,2022-2022,15,3,3,4,3*,0.00,80.00,-,-,-
ML Bojang,2022-2022,6,6,-,33,11,5.50,97.05,-,-,1
T Bokako,2022-2022,8,1,1,3,3*,0.00,150.00,-,-,-
SM Boland,2022-2022,1,1,1,5,5*,0.00,100.00,-,-,-
RS Bopara,2022-2022,36,35,7,747,54*,26.67,132.68,-,2,1
SG Borthwick,2022-2022,10,6,2,79,26,19.75,108.21,-,-,-
C Bosch,2022-2022,14,13,2,230,81,20.90,112.74,-,2,2
CG Bosch,2022-2022,2,2,-,10,10,5.00,100.00,-,-,1
E Bosch,2022-2022,13,5,-,45,14,9.00,76.27,-,-,-
W Boshoff,2022-2022,8,6,-,81,40,13.50,84.37,-,-,-
P Botha,2022-2022,2,2,-,6,5,3.00,54.54,-,-,-
P Botheju,2022-2022,3,1,-,12,12,12.00,150.00,-,-,-
TA Boult,2022-2022,35,12,10,69,23*,34.50,125.45,-,-,-
CJ Bowes,2022-2022,9,9,1,308,58,38.50,150.24,-,4,-
CJ Boyce,2022-2022,4,3,1,8,8*,4.00,72.72,-,-,2
MWT Boyle,2022-2022,3,3,-,42,30,14.00,120.00,-,-,1
DAJ Bracewell,2022-2022,6,6,2,79,39,19.75,168.08,-,-,-
MG Bracewell,2022-2022,19,14,8,462,141*,77.00,165.00,1,4,2
JR Bracey,2022-2022,13,11,-,298,70,27.09,125.73,-,2,-
N Brand,2022-2022,7,6,-,76,20,12.66,107.04,-,-,-
M Brasier,2022-2022,1,1,1,1,1*,0.00,33.33,-,-,-
CR Brathwaite,2022-2022,23,19,7,180,28*,15.00,136.36,-,-,2
DJ Bravo,2022-2022,44,32,11,267,34*,12.71,112.65,-,-,4
DM Bravo,2022-2022,13,10,1,158,39,17.55,103.26,-,-,-
MP Breetzke,2022-2022,13,13,2,263,61*,23.90,122.89,-,1,-
C Brennan,2022-2022,3,2,1,18,17,18.00,138.46,-,-,-
D Brevis,2022-2022,32,30,2,758,162,27.07,149.50,1,1,2
CJ Briggs,2022-2022,2,2,-,19,16,9.50,79.16,-,-,-
DR Briggs,2022-2022,19,6,4,46,29*,23.00,158.62,-,-,1
J Broad,2022-2022,9,9,2,288,62,41.14,119.50,-,3,-
HC Brook,2022-2022,51,45,9,1181,102*,32.80,152.19,1,5,2
HJH Brookes,2022-2022,13,8,4,31,21,7.75,129.16,-,-,2
JA Brooks,2022-2022,6,1,-,1,1,1.00,33.33,-,-,-
SSJ Brooks,2022-2022,18,16,2,395,109*,28.21,123.82,1,1,4
NT Broom,2022-2022,3,3,-,91,34,30.33,126.38,-,-,-
J Brown,2022-2022,1,1,-,7,7,7.00,70.00,-,-,-
PR Brown,2022-2022,16,8,6,32,9*,16.00,86.48,-,-,-
L Bruce,2022-2022,10,10,1,209,99*,23.22,108.29,-,2,2
TC Bruce,2022-2022,6,6,-,125,56,20.83,160.25,-,1,-
M Bryant,2022-2022,8,8,-,203,81,25.37,120.11,-,2,1
NL Buck,2022-2022,3,2,-,37,19,18.50,148.00,-,-,-
M Budaza,2022-2022,10,3,2,-,0*,0.00,0.00,-,-,1
RR Buddhi,2022-2022,7,7,1,166,72*,27.66,117.73,-,1,1
MLR Buddika,2022-2022,1,1,-,22,22,22.00,100.00,-,-,-
IW Budiarta,2022-2022,3,2,1,4,4*,4.00,100.00,-,-,1
SG Budinger,2022-2022,5,5,1,44,24,11.00,157.14,-,-,1
J Bulele,2022-2022,16,16,2,436,62*,31.14,95.61,-,3,-
JJ Bumrah,2022-2022,19,7,5,-,0*,0.00,0.00,-,-,2
T Buri,2022-2022,1,1,-,2,2,2.00,33.33,-,-,-
N Burger,2022-2022,4,3,1,8,4*,4.00,50.00,-,-,1
RP Burl,2022-2022,28,26,9,426,57*,25.05,121.71,-,2,1
JA Burns,2022-2022,6,5,1,89,25,22.25,96.73,-,-,-
LA Burns,2022-2022,13,9,1,102,47,12.75,114.60,-,-,1
RJ Burns,2022-2022,5,5,1,101,37,25.25,112.22,-,-,-
G Burrows,2022-2022,5,5,2,210,69*,70.00,133.75,-,3,-
JA Burrows,2022-2022,5,3,-,2,1,0.66,50.00,-,-,1
K Burrows,2022-2022,1,1,-,4,4,4.00,50.00,-,-,-
M Burton,2022-2022,3,3,-,41,22,13.66,91.11,-,-,-
WAE Burton,2022-2022,11,11,1,203,83,20.30,175.00,-,1,4
JJ Bushnell,2022-2022,2,2,2,33,25*,0.00,122.22,-,-,-
J Butler,2022-2022,12,11,-,192,32,17.45,93.65,-,-,1
J Butler,2022-2022,5,1,1,2,2*,0.00,66.66,-,-,-
WEL Buttleman,2022-2022,5,5,-,64,37,12.80,94.11,-,-,-
JC Buttler,2022-2022,38,38,4,1570,116,46.17,152.13,4,10,2
EJ Byrom,2022-2022,10,7,-,67,37,9.57,113.55,-,-,3
P Cabebula,2022-2022,6,6,1,6,5*,1.20,42.85,-,-,4
MAAHA Cader,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
JM De Caires,2022-2022,1,1,-,24,24,24.00,85.71,-,-,-
HRC Came,2022-2022,6,5,-,71,23,14.20,154.34,-,-,-
P Campbell,2022-2022,5,5,2,15,10,5.00,46.87,-,-,2
J Campbell,2022-2022,8,7,2,59,29*,11.80,95.16,-,-,-
F Campbell,2022-2022,5,5,-,36,18,7.20,64.28,-,-,1
C Campher,2022-2022,29,25,4,427,72*,20.33,141.39,-,1,3
M Campopiano,2022-2022,9,8,3,313,87*,62.60,121.78,-,3,1
L Canessane,2022-2022,5,5,1,24,15,6.00,72.72,-,-,-
B Capell,2022-2022,1,1,-,41,41,41.00,186.36,-,-,-
FE Carava,2022-2022,10,3,-,24,12,8.00,45.28,-,-,-
JM Carder,2022-2022,1,1,-,10,10,10.00,76.92,-,-,-
AT Carey,2022-2022,3,3,-,91,67,30.33,149.18,-,1,-
Y Cariah,2022-2022,2,2,2,3,2*,0.00,75.00,-,-,-
KS Carlson,2022-2022,12,10,1,146,28,16.22,114.06,-,-,-
HL Carlyon,2022-2022,8,8,-,165,56,20.62,98.80,-,1,1
C Carmichael,2022-2022,4,3,1,36,26,18.00,116.12,-,-,-
JC Carmichael,2022-2022,5,3,3,13,9*,0.00,61.90,-,-,-
BA Carse,2022-2022,11,11,-,124,25,11.27,124.00,-,-,1
JF Carter,2022-2022,5,5,1,86,32,21.50,106.17,-,-,1
LJ Carter,2022-2022,8,8,4,245,88*,61.25,133.15,-,1,-
M Carter,2022-2022,14,7,3,35,14,8.75,94.59,-,-,1
OJ Carter,2022-2022,2,2,-,2,2,1.00,33.33,-,-,1
HWR Cartwright,2022-2022,22,20,3,398,49,23.41,125.94,-,-,-
J Carty,2022-2022,4,3,1,3,2,1.50,42.85,-,-,-
KU Carty,2022-2022,2,2,-,6,5,3.00,46.15,-,-,-
K Cawte,2022-2022,5,1,1,-,0*,0.00,0.00,-,-,-
YS Chahal,2022-2022,39,3,2,7,5,7.00,77.77,-,-,-
DL Chahar,2022-2022,7,1,-,31,31,31.00,182.35,-,-,-
RD Chahar,2022-2022,20,12,4,96,25*,12.00,114.28,-,-,2
RW Chakabva,2022-2022,25,25,1,284,31,11.83,111.37,-,-,6
S Chakraborty,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
CPPM Sadun,2022-2022,5,5,1,110,52*,27.50,105.76,-,1,-
ARA Chambers,2022-2022,1,1,-,3,3,3.00,37.50,-,-,-
PVD Chameera,2022-2022,25,17,8,92,24*,10.22,121.05,-,-,3
S Chamodh,2022-2022,7,6,2,105,52*,26.25,105.00,-,1,1
UBT Chand,2022-2022,2,2,-,35,29,17.50,116.66,-,-,-
K Chandela,2022-2022,7,7,2,152,59*,30.40,143.39,-,1,-
P Chandila,2022-2022,2,2,-,25,24,12.50,67.56,-,-,-
LD Chandimal,2022-2022,25,23,4,532,63,28.00,118.22,-,2,1
G Chandrabose,2022-2022,10,3,3,1,1*,0.00,50.00,-,-,-
RK Chandraguptha,2022-2022,6,3,-,31,21,10.33,77.50,-,-,-
S Chandrakar,2022-2022,1,1,-,10,10,10.00,71.42,-,-,-
S Chandramohan,2022-2022,18,18,-,320,100,17.77,117.21,1,-,1
Y Chanuka,2022-2022,4,4,1,64,26*,21.33,128.00,-,-,-
TD Chaoana,2022-2022,7,4,-,3,2,0.75,21.42,-,-,2
MS Chapman,2022-2022,14,11,-,190,83,17.27,137.68,-,1,2
ZJ Chappell,2022-2022,6,2,2,11,10*,0.00,137.50,-,-,-
AB Charak,2022-2022,6,3,-,4,4,1.33,28.57,-,-,2
MSR Charan,2022-2022,2,2,-,2,2,1.00,22.22,-,-,1
J Charles,2022-2022,15,13,1,446,87*,37.16,129.27,-,4,-
LA Charlesworth,2022-2022,1,1,-,1,1,1.00,50.00,-,-,-
P Charuka,2022-2022,4,3,3,13,11*,0.00,144.44,-,-,-
PKD Chase,2022-2022,3,1,1,3,3*,0.00,75.00,-,-,-
RL Chase,2022-2022,14,12,1,116,19,10.54,100.00,-,-,-
TL Chatara,2022-2022,30,13,7,66,19,11.00,85.71,-,-,1
IAS Chathuranga,2022-2022,5,4,1,80,32,26.66,96.38,-,-,-
C Chatphaisan,2022-2022,6,6,-,39,15,6.50,95.12,-,-,2
SD Chatterjee,2022-2022,7,7,1,131,49*,21.83,107.37,-,-,1
WB Chatterjee,2022-2022,6,4,2,14,8,7.00,50.00,-,-,-
J Chaturanga,2022-2022,4,4,-,42,20,10.50,100.00,-,-,1
G Chaturvedi,2022-2022,8,8,-,71,33,8.87,97.26,-,-,1
S Chaudhary,2022-2022,7,7,1,306,84*,51.00,123.88,-,3,-
S Chaudhary,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
Y Chaudhary,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
SD Chauhan,2022-2022,5,5,1,116,84*,29.00,158.90,-,1,1
PR Chauhan,2022-2022,2,2,-,28,25,14.00,127.27,-,-,-
PP Chawla,2022-2022,5,3,2,15,10*,15.00,136.36,-,-,1
MPS Cheema,2022-2022,9,7,2,80,33,16.00,111.11,-,-,-
N Chejay,2022-2022,5,5,1,21,13,5.25,48.83,-,-,2
P Chesa,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
Chetan Anand,2022-2022,5,5,3,12,7,6.00,48.00,-,-,1
C Chete,2022-2022,10,2,1,3,3*,3.00,60.00,-,-,1
LR Chethan,2022-2022,4,4,1,94,61*,31.33,109.30,-,1,2
A Chibanda,2022-2022,3,3,2,56,34,56.00,130.23,-,-,-
CJ Chibhabha,2022-2022,5,5,-,103,45,20.60,100.00,-,-,-
A Chigoma,2022-2022,4,3,-,40,32,13.33,111.11,-,-,-
VB Chikkannaiah,2022-2022,3,3,-,69,50,23.00,100.00,-,1,-
SD Chimhamhiwa,2022-2022,3,2,-,38,22,19.00,131.03,-,-,-
P Chin,2022-2022,4,-,-,-,-,0.00,0.00,-,-,-
BM Chingakham,2022-2022,7,7,1,48,16*,8.00,88.88,-,-,1
S Chinthaka,2022-2022,6,5,-,98,42,19.60,119.51,-,-,-
BT Chipungu,2022-2022,2,1,1,1,1*,0.00,50.00,-,-,-
AR Chiradza,2022-2022,1,1,-,2,2,2.00,40.00,-,-,-
Chirag Suri,2022-2022,15,15,1,383,88,27.35,119.68,-,3,2
TS Chisoro,2022-2022,4,3,2,12,7*,12.00,100.00,-,-,-
C Chitumba,2022-2022,5,2,1,12,6*,12.00,80.00,-,-,-
TL Chivanga,2022-2022,13,5,4,14,7*,14.00,127.27,-,-,1
M Choamba,2022-2022,10,2,1,6,4,6.00,31.57,-,-,-
G Chohan,2022-2022,5,3,1,25,17,12.50,86.20,-,-,-
HA Chohan,2022-2022,14,7,3,29,8*,7.25,161.11,-,-,1
P Chopra,2022-2022,7,7,1,179,61*,29.83,111.87,-,1,-
F Choudary,2022-2022,2,1,1,-,0*,0.00,0.00,-,-,-
A Choudhary,2022-2022,7,1,1,-,0*,0.00,0.00,-,-,-
AA Choudhury,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
MC Christensen,2022-2022,1,1,-,7,7,7.00,116.66,-,-,-
DT Christian,2022-2022,29,25,5,437,73,21.85,122.40,-,2,2
MW Chu,2022-2022,3,2,-,15,9,7.50,83.33,-,-,-
Y Chudasama,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
AT Chuvale,2022-2022,1,1,1,3,3*,0.00,37.50,-,-,-
G Clark,2022-2022,13,12,-,280,65,23.33,135.26,-,2,1
J Clark,2022-2022,6,3,1,35,17,17.50,102.94,-,-,-
