Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
JM Clarke,2022-2022,43,43,2,1081,101*,26.36,134.95,1,7,5
KD Clarke,2022-2022,6,6,-,179,71,29.83,150.42,-,1,-
KDC Clarke,2022-2022,3,1,1,8,8*,0.00,266.66,-,-,-
RA Clarke,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
JA Clarkson,2022-2022,6,6,2,259,76*,64.75,202.34,-,3,-
C Classen,2022-2022,4,-,-,-,-,0.00,0.00,-,-,-
J Clayton,2022-2022,2,2,-,21,15,10.50,91.30,-,-,-
D Cleaver,2022-2022,12,10,1,260,78*,28.88,129.35,-,1,-
SL Clephane,2022-2022,2,2,1,1,1,1.00,16.66,-,-,-
A Cloete,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
GL Cloete,2022-2022,10,10,1,274,68*,30.44,122.86,-,3,1
JJ Cobb,2022-2022,23,19,1,367,70,20.38,142.24,-,4,2
BP Coburn,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
IA Cockbain,2022-2022,23,22,3,474,71*,24.94,126.40,-,3,1
G Coetzee,2022-2022,16,10,1,99,37,11.00,180.00,-,-,1
JH Coetzer,2022-2022,4,4,3,19,15*,19.00,79.16,-,-,-
M Cohen,2022-2022,3,3,1,60,28,30.00,100.00,-,-,-
R Coker,2022-2022,7,6,1,33,12,6.60,52.38,-,-,1
NG Collins,2022-2022,10,10,-,280,79,28.00,100.35,-,1,-
S Colombage,2022-2022,5,3,-,2,1,0.66,66.66,-,-,1
M Commins,2022-2022,8,8,-,214,102,26.75,138.96,1,-,2
S Conners,2022-2022,12,4,1,5,2,1.66,62.50,-,-,1
A Conteh,2022-2022,7,7,-,44,9,6.28,57.89,-,-,1
S Conteh,2022-2022,6,3,-,9,9,3.00,81.81,-,-,2
DP Conway,2022-2022,25,25,5,901,92*,45.05,129.26,-,8,2
HNA Conway,2022-2022,9,1,-,1,1,1.00,100.00,-,-,-
MY Cook,2022-2022,3,3,-,54,50,18.00,145.94,-,1,1
SJ Cook,2022-2022,20,3,2,11,7*,11.00,110.00,-,-,-
CB Cooke,2022-2022,10,9,2,152,46,21.71,131.03,-,-,-
JM Cooke,2022-2022,2,1,1,10,10*,0.00,166.66,-,-,-
S Coomaraswamy,2022-2022,1,1,-,18,18,18.00,128.57,-,-,-
HR Cooper,2022-2022,8,5,1,58,21,14.50,111.53,-,-,-
TLW Cooper,2022-2022,17,17,1,260,81*,16.25,120.93,-,1,1
MMMS Cooray,2022-2022,11,11,1,257,83,25.70,121.22,-,1,1
NHG Cooray,2022-2022,5,5,2,61,30*,20.33,73.49,-,-,-
WJ Cope,2022-2022,11,9,2,94,37,13.42,106.81,-,-,3
M Copeland,2022-2022,16,12,1,146,40,13.27,104.28,-,-,3
RRS Cornwall,2022-2022,9,9,-,242,91,26.88,142.35,-,1,-
FA Cossa,2022-2022,16,11,5,240,68,40.00,135.59,-,1,2
LK Coster,2022-2022,6,3,-,5,3,1.66,55.55,-,-,1
K Cotani,2022-2022,5,5,1,31,16,7.75,65.95,-,-,1
SJ Cotter,2022-2022,6,6,-,100,45,16.66,114.94,-,-,1
SS Cottrell,2022-2022,14,3,1,3,2,1.50,30.00,-,-,-
BL Couch,2022-2022,8,3,1,4,4*,2.00,44.44,-,-,2
J Clough,2022-2022,1,1,-,9,9,9.00,69.23,-,-,-
P Coughlin,2022-2022,14,11,-,182,42,16.54,126.38,-,-,2
NM Coulter-Nile,2022-2022,7,4,2,24,15,12.00,114.28,-,-,-
JM Cox,2022-2022,30,27,1,761,94,29.26,139.88,-,4,1
OB Cox,2022-2022,8,8,-,104,27,13.00,109.47,-,-,-
JB Cracknell,2022-2022,14,14,1,314,68,24.15,122.65,-,1,1
MS Crane,2022-2022,23,4,2,24,11,12.00,92.30,-,-,1
Z Crawley,2022-2022,9,9,-,188,41,20.88,118.23,-,-,-
MJJ Critchley,2022-2022,15,15,4,366,60,33.27,143.52,-,2,-
HT Crocombe,2022-2022,8,4,4,6,2*,0.00,120.00,-,-,-
SJ Croft,2022-2022,17,17,3,548,76*,39.14,135.30,-,4,1
XA Crone,2022-2022,2,1,-,1,1,1.00,25.00,-,-,-
L Croospulle,2022-2022,11,11,-,202,54,18.36,118.82,-,1,1
MH Cross,2022-2022,5,5,-,47,28,9.40,104.44,-,-,-
S Crowie,2022-2022,7,5,1,54,28,13.50,69.23,-,-,-
BC Cullen,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
PJ Cummins,2022-2022,18,14,6,119,56*,14.87,163.01,-,1,3
EJ Cunningham,2022-2022,2,2,-,2,2,1.00,50.00,-,-,1
R Cunningham,2022-2022,3,2,2,7,7*,0.00,77.77,-,-,-
BJ Curran,2022-2022,14,12,-,253,71,21.08,126.50,-,2,1
SM Curran,2022-2022,36,27,4,495,69,21.52,133.78,-,3,1
TK Curran,2022-2022,10,8,3,150,36,30.00,185.18,-,-,1
SW Currie,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
BCJ Cutting,2022-2022,17,15,3,274,52*,22.83,147.31,-,1,2
KC D'Souza,2022-2022,17,16,4,405,92*,33.75,165.98,-,2,1
PAD Dabare,2022-2022,2,2,-,15,15,7.50,136.36,-,-,1
PTM Dabare,2022-2022,16,16,-,363,70,22.68,131.52,-,3,1
S Dadswell,2022-2022,10,10,1,187,42,20.77,135.50,-,-,1
MJ Dagar,2022-2022,7,2,2,21,21*,0.00,175.00,-,-,-
PA Dahiya,2022-2022,3,3,-,28,16,9.33,75.67,-,-,-
HGS Dakshina,2022-2022,3,2,-,-,-,0.00,0.00,-,-,2
CJ Dala,2022-2022,20,6,5,54,27*,54.00,96.42,-,-,-
H Dalal,2022-2022,6,6,-,105,47,17.50,131.25,-,-,1
AS Dale,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
RSC Dalpethado,2022-2022,2,2,-,3,3,1.50,16.66,-,-,1
IDA Damarell,2022-2022,12,12,2,257,51,25.70,104.04,-,1,-
F Damiao Couana,2022-2022,16,15,2,382,67,29.38,121.65,-,3,1
A Dananjaya,2022-2022,19,8,1,29,10,4.14,70.73,-,-,1
A Daniel,2022-2022,7,3,-,18,15,6.00,54.54,-,-,1
S Daniel,2022-2022,16,14,1,363,80,27.92,128.26,-,3,2
Danish Aziz,2022-2022,12,11,3,116,30*,14.50,102.65,-,-,1
Danish Jasnaik,2022-2022,9,5,1,19,11,4.75,73.07,-,-,-
JC Darji,2022-2022,1,1,-,9,9,9.00,81.81,-,-,-
R Drake,2022-2022,1,1,1,1,1*,0.00,100.00,-,-,-
IK Darmawan,2022-2022,2,2,-,25,16,12.50,75.75,-,-,-
Darwish Rasooli,2022-2022,7,7,3,141,51,35.25,134.28,-,1,-
BB Das,2022-2022,7,7,1,276,73,46.00,118.96,-,3,-
DP Das,2022-2022,5,5,-,59,15,11.80,90.76,-,-,-
RJ Das,2022-2022,2,2,-,38,23,19.00,140.74,-,-,-
RK Das,2022-2022,7,6,3,110,35,36.66,126.43,-,-,-
PM Datey,2022-2022,4,2,1,16,15,16.00,160.00,-,-,-
JH Davey,2022-2022,14,5,5,46,12*,0.00,200.00,-,-,-
TH David,2022-2022,73,68,15,1461,71,27.56,170.67,-,5,2
N Davidovic,2022-2022,3,3,-,20,16,6.66,181.81,-,-,1
AL Davies,2022-2022,23,22,2,389,51*,19.45,125.88,-,1,1
JLB Davies,2022-2022,10,10,1,202,47,22.44,104.12,-,-,1
O Davies,2022-2022,13,11,1,210,65,21.00,150.00,-,1,-
WS Davis,2022-2022,5,3,2,7,5*,7.00,63.63,-,-,1
S Davizi,2022-2022,15,15,3,612,115*,51.00,146.41,2,2,-
R Davson,2022-2022,3,2,1,3,2*,3.00,75.00,-,-,-
Dawlat Zadran,2022-2022,6,5,3,30,15*,15.00,85.71,-,-,2
J Dawood,2022-2022,13,4,2,9,3*,4.50,64.28,-,-,-
Dawood Ahmadzai,2022-2022,5,1,-,3,3,3.00,23.07,-,-,-
LA Dawson,2022-2022,38,30,9,273,34,13.00,117.67,-,-,1
J Da Silva,2022-2022,1,1,-,19,19,19.00,105.55,-,-,-
TJ Dean,2022-2022,1,1,-,32,32,32.00,123.07,-,-,-
TB de Bruyn,2022-2022,17,17,4,367,63*,28.23,129.22,-,1,1
C de Grandhomme,2022-2022,11,11,2,283,86,31.44,134.12,-,1,-
J de Klerk,2022-2022,2,2,1,6,5,6.00,66.66,-,-,-
Q de Kock,2022-2022,54,53,5,1384,140*,28.83,136.22,1,9,6
S Delai,2022-2022,1,1,-,16,16,16.00,55.17,-,-,-
M de Lange,2022-2022,11,4,2,9,7*,4.50,69.23,-,-,1
DC Delany,2022-2022,7,2,-,2,2,1.00,50.00,-,-,1
GJ Delany,2022-2022,34,30,5,445,51*,17.80,134.03,-,1,3
BFW de Leede,2022-2022,15,15,6,382,91*,42.44,108.52,-,3,1
S de Livera,2022-2022,2,2,-,42,26,21.00,116.66,-,-,-
CS Delport,2022-2022,11,9,1,165,51*,20.62,147.32,-,1,-
L Delport,2022-2022,2,2,1,14,7*,14.00,127.27,-,-,-
S de Mel,2022-2022,5,5,-,41,17,8.20,80.39,-,-,1
JL Denly,2022-2022,13,13,-,423,110,32.53,123.32,1,1,1
L Denny,2022-2022,6,5,1,81,45,20.25,126.56,-,-,-
CDJ Dent,2022-2022,5,4,-,97,40,24.25,161.66,-,-,-
A Denuwan,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
K Deobrat,2022-2022,2,2,-,1,1,0.50,14.28,-,-,1
HM Desai,2022-2022,3,3,1,94,59*,47.00,123.68,-,1,-
HS Desai,2022-2022,4,4,-,54,26,13.50,108.00,-,-,-
MD Desai,2022-2022,5,5,-,27,9,5.40,56.25,-,-,-
SJ Desai,2022-2022,1,1,-,4,4,4.00,44.44,-,-,-
TU Deshpande,2022-2022,12,2,1,4,3,4.00,80.00,-,-,-
DM de Silva,2022-2022,20,18,1,343,66*,20.17,121.63,-,1,3
A de Silva,2022-2022,5,3,1,11,5,5.50,110.00,-,-,-
IA De Silva,2022-2022,17,17,1,390,59,24.37,116.07,-,3,1
J de Zilva,2022-2022,5,5,-,81,24,16.20,100.00,-,-,1
LHSP de Silva,2022-2022,5,5,-,119,63,23.80,98.34,-,1,-
M de Silva,2022-2022,5,4,1,45,16,15.00,86.53,-,-,-
M de Silva,2022-2022,6,4,-,26,15,6.50,63.41,-,-,1
PC de Silva,2022-2022,9,8,-,106,61,13.25,143.24,-,1,1
PVR de Silva,2022-2022,8,8,-,142,59,17.75,115.44,-,1,1
R de Silva,2022-2022,3,1,-,5,5,5.00,100.00,-,-,-
Senal de Silva,2022-2022,6,3,1,7,3*,3.50,31.81,-,-,-
STRA de Silva,2022-2022,7,5,2,99,46*,33.00,97.05,-,-,1
WLRK de Silva,2022-2022,6,6,-,22,14,3.66,66.66,-,-,1
S Dilshan,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
P Desungnoen,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
S Desungnoen,2022-2022,5,5,-,12,6,2.40,25.00,-,-,1
R de Swardt,2022-2022,6,3,1,46,22,23.00,92.00,-,-,-
Devender Singh,2022-2022,9,9,1,109,23,13.62,96.46,-,-,-
C Devinda,2022-2022,6,2,1,11,8,11.00,39.28,-,-,-
L Dawatage,2022-2022,4,2,-,44,41,22.00,115.78,-,-,-
RA Dey,2022-2022,7,7,3,85,43*,21.25,128.78,-,-,-
M Deyal,2022-2022,6,6,-,66,35,11.00,111.86,-,-,2
T de Zorzi,2022-2022,9,9,-,176,45,19.55,123.94,-,-,1
LA de Zoysa,2022-2022,6,1,-,4,4,4.00,50.00,-,-,-
S Dhakal,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
NS Dhaliwal,2022-2022,5,5,2,136,54*,45.33,134.65,-,1,-
N Dhamba,2022-2022,1,1,-,3,3,3.00,50.00,-,-,-
R Dhanda,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
HGKD Dhanushka,2022-2022,5,5,-,44,36,8.80,122.22,-,-,2
Dharmang Patel,2022-2022,5,1,-,17,17,17.00,60.71,-,-,-
D Dharmasiri,2022-2022,7,7,-,46,18,6.57,80.70,-,-,2
Dharm Singh,2022-2022,2,2,-,3,3,1.50,33.33,-,-,1
R Dhawan,2022-2022,13,10,5,81,22,16.20,112.50,-,-,-
S Dhawan,2022-2022,15,15,2,497,88*,38.23,123.63,-,3,-
P Dhiman,2022-2022,4,4,-,41,29,10.25,74.54,-,-,-
R Dhiman,2022-2022,4,3,1,17,9*,8.50,100.00,-,-,-
A Dhingra,2022-2022,7,1,-,1,1,1.00,33.33,-,-,-
MS Dhoni,2022-2022,14,13,6,232,50*,33.14,123.40,-,1,-
YV Dhull,2022-2022,8,8,3,363,73,72.60,131.52,-,3,-
MT Diaby,2022-2022,7,6,-,36,13,6.00,59.01,-,-,1
SG Diaby,2022-2022,6,4,1,50,41*,16.66,113.63,-,-,1
MS Diakite,2022-2022,4,4,-,14,8,3.50,73.68,-,-,1
PD Dias,2022-2022,2,2,-,27,15,13.50,77.14,-,-,-
S Dias,2022-2022,2,2,-,25,25,12.50,86.20,-,-,1
MS Diawara,2022-2022,7,5,-,12,9,2.40,37.50,-,-,2
C Dickson,2022-2022,6,4,-,58,28,14.50,93.54,-,-,-
HB Dickson,2022-2022,3,3,-,65,51,21.66,130.00,-,1,1
N Dickwella,2022-2022,20,19,2,331,76*,19.47,121.24,-,3,6
T Dickwella,2022-2022,1,1,-,23,23,23.00,121.05,-,-,-
I Dikgale,2022-2022,3,3,-,38,28,12.66,146.15,-,-,-
A Dilhara,2022-2022,3,2,-,14,12,7.00,77.77,-,-,-
K Dilhara,2022-2022,5,5,1,46,25,11.50,97.87,-,-,-
C Dilsara,2022-2022,6,6,4,9,5*,4.50,90.00,-,-,-
MNM Dilshad,2022-2022,5,1,1,-,0*,0.00,0.00,-,-,-
HGK Dilshan,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
MD Dilshan,2022-2022,6,6,1,149,55*,29.80,107.97,-,1,-
MVTP Dilshan,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
WT Dilshan,2022-2022,2,2,-,14,14,7.00,66.66,-,-,1
Y Dishan,2022-2022,3,2,1,14,8,14.00,93.33,-,-,-
SDJJ Dima,2022-2022,7,3,1,7,5*,3.50,35.00,-,-,1
T Dinoshan,2022-2022,3,2,1,25,15*,25.00,119.04,-,-,-
S Disanayaka,2022-2022,6,2,1,36,32,36.00,120.00,-,-,-
JN Diseko,2022-2022,6,2,2,26,14*,0.00,96.29,-,-,-
B Dissanayake,2022-2022,2,2,-,59,52,29.50,103.50,-,1,-
C Dissanayake,2022-2022,1,1,1,5,5*,0.00,100.00,-,-,-
TA Dithole,2022-2022,7,4,-,42,22,10.50,89.36,-,-,-
Divyendra Singh,2022-2022,9,5,-,32,9,6.40,78.04,-,-,-
Divyes Kumar,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
S Diwangana,2022-2022,2,2,-,6,6,3.00,42.85,-,-,1
M Dixit,2022-2022,7,6,2,55,25*,13.75,98.21,-,-,1
A Dizija,2022-2022,10,10,-,303,92,30.30,115.64,-,3,1
A Djorovic,2022-2022,3,1,-,15,15,15.00,60.00,-,-,-
BM Dlamini,2022-2022,5,5,-,14,10,2.80,53.84,-,-,3
LE Dlamini,2022-2022,7,4,1,27,14,9.00,72.97,-,-,-
NM Dlamini,2022-2022,3,3,-,33,23,11.00,97.05,-,-,-
W Dlamini,2022-2022,8,7,-,30,12,4.28,88.23,-,-,-
KK Dobell,2022-2022,3,2,1,3,3*,3.00,50.00,-,-,1
GH Dockrell,2022-2022,33,30,11,605,69*,31.84,156.33,-,3,3
J Dodd,2022-2022,2,2,-,29,22,14.50,120.83,-,-,-
B Doggett,2022-2022,7,2,1,5,4,5.00,166.66,-,-,-
P Dogra,2022-2022,2,2,-,17,12,8.50,62.96,-,-,-
ST Doheny,2022-2022,10,10,2,400,74*,50.00,134.22,-,4,-
BL D'Oliveira,2022-2022,16,15,-,325,71,21.66,135.98,-,2,1
AHT Donald,2022-2022,4,4,-,20,14,5.00,64.51,-,-,1
PG Dooley,2022-2022,6,5,4,27,10*,27.00,84.37,-,-,-
T Doria,2022-2022,7,7,-,117,40,16.71,85.40,-,-,1
RM Dorji,2022-2022,6,6,-,22,11,3.66,39.28,-,-,1
DA Douthwaite,2022-2022,14,10,5,180,51*,36.00,183.67,-,1,-
D Doyle-Calle,2022-2022,13,13,-,257,50,19.76,111.73,-,1,-
DC Drakes,2022-2022,21,11,-,106,38,9.63,116.48,-,-,1
S Draunivudi,2022-2022,3,1,1,6,6*,0.00,150.00,-,-,-
GS Drissell,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
MK Dube,2022-2022,4,3,2,5,3*,5.00,71.42,-,-,-
HS Dubey,2022-2022,4,-,-,-,-,0.00,0.00,-,-,-
S Dube,2022-2022,21,19,6,475,95*,36.53,141.79,-,2,1
SB Dubey,2022-2022,8,8,2,180,49*,30.00,121.62,-,-,-
SS Dubhashi,2022-2022,1,1,1,6,6*,0.00,54.54,-,-,-
BM Duckett,2022-2022,38,38,6,998,70*,31.18,145.26,-,6,2
KJ Dudgeon,2022-2022,4,3,-,35,27,11.66,116.66,-,-,-
JA Duffy,2022-2022,9,4,2,6,5,3.00,120.00,-,-,1
B Dugic,2022-2022,3,1,-,-,-,0.00,0.00,-,-,1
G Dukes,2022-2022,4,4,1,45,24,15.00,121.62,-,-,-
GHV Dulsara,2022-2022,6,6,1,41,14*,8.20,89.13,-,-,-
PWS Dulshan,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
H Dumindu,2022-2022,8,8,1,147,54,21.00,132.43,-,1,-
LA Dunbar,2022-2022,11,11,3,386,117,48.25,144.02,1,2,-
JSE Dunford,2022-2022,8,4,3,25,18*,25.00,138.88,-,-,1
BR Dunk,2022-2022,2,1,-,9,9,9.00,81.81,-,-,-
DM Dupavillon,2022-2022,20,7,4,14,7*,4.66,77.77,-,-,1
F du Plessis,2022-2022,50,49,5,1352,103,30.72,141.86,2,7,4
JL du Plooy,2022-2022,28,26,6,531,59*,26.55,144.29,-,2,3
E Dusingizimana,2022-2022,22,22,2,462,66*,23.10,104.52,-,2,2
A Dutt,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
MK Dutta,2022-2022,7,1,-,6,6,6.00,75.00,-,-,-
N Dutta,2022-2022,6,1,1,17,17*,0.00,130.76,-,-,-
BJ Dwarshuis,2022-2022,15,9,4,82,66,16.40,170.83,-,1,3
V Dwivedi,2022-2022,2,2,1,12,7,12.00,66.66,-,-,-
Dylan Steyn,2022-2022,15,15,-,465,106,31.00,132.85,1,2,-
AR Easwaran,2022-2022,6,6,1,174,46,34.80,107.40,-,-,1
Ebadot Hossain,2022-2022,9,1,1,1,1*,0.00,50.00,-,-,-
GA Ebert,2022-2022,2,1,-,1,1,1.00,50.00,-,-,-
EJH Eckersley,2022-2022,14,13,5,213,46,26.62,139.21,-,-,3
LEK Edirisinghe,2022-2022,10,6,-,84,33,14.00,118.30,-,-,1
KHK Ediriweera,2022-2022,4,4,-,65,29,16.25,75.58,-,-,-
LM Edward,2022-2022,3,1,1,6,6*,0.00,100.00,-,-,-
J Edwards,2022-2022,6,6,-,110,40,18.33,110.00,-,-,-
SA Edwards,2022-2022,15,15,6,183,26*,20.33,96.82,-,-,-
Ehsan Khan,2022-2022,10,6,2,10,6*,2.50,62.50,-,-,2
EMKB Ekanayake,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
PM Ekanayake,2022-2022,3,2,1,17,13,17.00,80.95,-,-,-
Elan Talker,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
I Elec,2022-2022,4,4,-,10,5,2.50,34.48,-,-,1
D Elgar,2022-2022,1,1,-,12,12,12.00,100.00,-,-,-
Elias Hasan,2022-2022,6,4,1,29,11,9.66,100.00,-,-,-
JKP Ellick,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
SM Elliott,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
NT Ellis,2022-2022,33,22,12,91,21,9.10,98.91,-,-,3
Emal,2022-2022,2,1,1,-,0*,0.00,0.00,-,-,-
L Emilio,2022-2022,15,10,3,108,31*,15.42,83.07,-,-,1
A Eranda,2022-2022,6,6,-,80,27,13.33,84.21,-,-,1
MG Erasmus,2022-2022,11,11,3,306,100*,38.25,122.40,1,1,1
Eric Phiri,2022-2022,11,9,-,39,10,4.33,70.90,-,-,-
MN Erlank,2022-2022,4,4,-,56,22,14.00,105.66,-,-,-
CR Ervine,2022-2022,27,27,1,383,58,14.73,101.86,-,2,1
SS Eskinazi,2022-2022,14,14,1,431,87,33.15,151.76,-,2,-
C Esterhuizen,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
AC Evans,2022-2022,1,1,-,8,8,8.00,160.00,-,-,-
B Evans,2022-2022,16,11,4,89,21*,12.71,107.22,-,-,-
J Evans,2022-2022,4,4,-,33,24,8.25,106.45,-,-,1
LJ Evans,2022-2022,34,31,6,687,76*,27.48,142.82,-,3,2
Z Evans,2022-2022,4,1,1,-,0*,0.00,0.00,-,-,-
JDM Evison,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Fahad Nawaz,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Faheem Ashraf,2022-2022,12,9,4,139,55,27.80,182.89,-,1,1
Faheem Nazir,2022-2022,7,7,1,382,113,63.66,151.58,2,2,-
Fahim Bahrami,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
Faisal Akram,2022-2022,6,2,-,2,2,1.00,40.00,-,-,1
Faisal Khan,2022-2022,7,7,1,106,81*,17.66,170.96,-,1,2
Faisal Mubashir,2022-2022,5,4,1,83,45*,27.66,127.69,-,-,1
Faizan Khan,2022-2022,8,7,-,231,72,33.00,176.33,-,3,-
Fakhar Zaman,2022-2022,22,22,-,707,106,32.13,140.55,1,8,3
Fakhrul Mohon,2022-2022,4,3,2,20,12*,20.00,133.33,-,-,1
Faraz Ali,2022-2022,4,3,1,28,13,14.00,147.36,-,-,-
Fareed Ahmad,2022-2022,16,5,3,18,7,9.00,62.06,-,-,-
Farhad Reza,2022-2022,7,2,-,6,6,3.00,120.00,-,-,1
Farhan Zakhil,2022-2022,7,6,-,98,52,16.33,102.08,-,1,1
Faridoon Dawoodzai,2022-2022,2,1,1,-,0*,0.00,0.00,-,-,-
Farmanullah,2022-2022,7,7,2,165,53*,33.00,135.24,-,1,1
IM Farrell,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
G Fatouros,2022-2022,4,4,-,84,50,21.00,116.66,-,1,-
JP Faulkner,2022-2022,6,3,2,49,30*,49.00,181.48,-,-,-
Fawad Ahmed,2022-2022,9,2,2,4,4*,0.00,200.00,-,-,-
Fayaz Khan,2022-2022,5,4,1,21,15*,7.00,105.00,-,-,1
Fayaz Mohammad,2022-2022,4,3,-,21,12,7.00,123.52,-,-,-
Fayyaz Butt,2022-2022,7,3,1,19,12,9.50,55.88,-,-,-
Fazalhaq Farooqi,2022-2022,35,5,3,3,2*,1.50,23.07,-,-,2
Fazal Niazai,2022-2022,3,3,1,22,16*,11.00,122.22,-,-,1
Fazal Zazai,2022-2022,6,6,1,152,72*,30.40,100.66,-,2,-
Fazil Rashid,2022-2022,7,3,1,15,12,7.50,62.50,-,-,-
LB Ferbrache,2022-2022,12,9,2,118,28,16.85,86.13,-,-,1
NS Felane,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
LH Ferguson,2022-2022,33,13,6,79,30,11.28,133.89,-,-,2
A Fernando,2022-2022,1,1,-,7,7,7.00,63.63,-,-,-
AD Fernando,2022-2022,6,6,1,56,21,11.20,100.00,-,-,1
AM Fernando,2022-2022,9,1,1,10,10*,0.00,333.33,-,-,-
N Pradeep,2022-2022,13,6,2,16,10,4.00,47.05,-,-,1
B Fernando,2022-2022,13,4,3,12,4*,12.00,85.71,-,-,-
BOP Fernando,2022-2022,5,4,2,65,44*,32.50,116.07,-,-,1
C Fernando,2022-2022,6,5,1,56,21,14.00,72.72,-,-,1
C Fernando,2022-2022,4,2,-,13,11,6.50,68.42,-,-,-
GSJ Fernando,2022-2022,1,1,-,4,4,4.00,30.76,-,-,-
HSD Fernando,2022-2022,7,6,1,35,16,7.00,62.50,-,-,1
KNM Fernando,2022-2022,12,12,1,215,80*,19.54,113.75,-,1,1
MNK Fernando,2022-2022,15,14,2,369,126*,30.75,139.24,1,2,1
MVT Fernando,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
Nawanjaya Fernando,2022-2022,3,1,-,1,1,1.00,11.11,-,-,-
NN Fernando,2022-2022,4,3,2,10,7*,10.00,62.50,-,-,-
P Fernando,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
PNP Fernando,2022-2022,5,5,1,56,27*,14.00,100.00,-,-,-
PSU Fernando,2022-2022,5,4,-,36,18,9.00,97.29,-,-,-
RS Fernando,2022-2022,9,6,3,60,20*,20.00,142.85,-,-,1
S Fernando,2022-2022,3,3,-,31,19,10.33,68.88,-,-,-
S Fernando,2022-2022,5,4,1,97,72,32.33,118.29,-,1,-
